Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
11,Gujarat_24,Banaskantha_441,Deesa_3740,Agdol_155974,Sodapur,Sodapur,Dug Well,CGWB,W242405072174501,24.40139,72.29583,23.59,Unconfined,19.02,11.84,14.37,12.1,12.16,7.83,6.21,12.83,18.19,12.69,16.89,13.57,20.57,21.42,23.38,16.95
12,Gujarat_24,Banaskantha_441,Deesa_3740,Akhol Moti 155976,Akhol Moti,Akhol Moti -I,Piezometer,SGWD,BKPZ-084,24.28736,72.16598,90,Unconfined,77.3,68.5,67.5,70,78.2,63.8,62.1,63.8,72.5,65.6,61.2,58.2,63.3,62.1,66.7,63.4
13,Gujarat_24,Banaskantha_441,Deesa_3740,Akhol Moti_155976,Akhol Moti-Ii,NA,Piezometer,SGWD,BKPZ-085,24.28736,72.16528,127,Confined I,79.88,79.98,70.78,74.18,82.08,71.28,65.48,67.13,76.33,77.78,78,76.43,77.58,76.53,78.6,75.3
14,Gujarat_24,Banaskantha_441,Deesa_3740,Akhol Moti_155976,Akhol Moti-Iii,NA,Piezometer,SGWD,BKPZ-086,24.28746,72.16518,150,Confined II,88.9,88.5,86.3,87.1,97.6,85.15,80,81.7,90.15,91.1,91.55,90.1,91.1,90,92.2,90.1
15,Gujarat_24,Banaskantha_441,Deesa_3740,Baiwada_155978,Baiwada,NA,Piezometer,SGWD,G_1_BK_023,24.35417,72.17028,119.3,Confined I,87.1,84.6,86.2,86.2,88,88,90,88.8,89.3,89.2,91,89.65,90.4,88.85,91.3,89.2
16,Gujarat_24,Banaskantha_441,Deesa_3740,Gharnal Moti_156011,Gharnal Moti-Iii,NA,Piezometer,SGWD,BKPZ-089,24.21417,72.01472,150.66,Confined II,131.5,128.1,131.5,133.3,136.3,133.2,139,142.55,139.68,136.9,139.9,137.5,139.3,136.6,137.8,134.6
17,Gujarat_24,Banaskantha_441,Deesa_3740,Lunpur_156042,Lunpur,NA,Piezometer,SGWD,BKPZ-090,24.15278,72.11056,120.28,Confined I,111.6,107.2,111.3,113.3,115.8,108.8,102,110.4,109.86,108.1,109.2,105.5,108.7,104.6,Dry,Dry
18,Gujarat_24,Banaskantha_441,Deesa_3740,Nava_156052,Nava,NA,Piezometer,SGWD,BKPZ-091,24.12972,72.17167,150,Confined I,84.1,88.6,91.8,92.4,95.8,89.1,92.4,90,99.1,94.5,106,103,109.9,106.6,123.2,117.6
19,Gujarat_24,Banaskantha_441,Deesa_3740,Nesda Juna_156053,Nesda Juna,NA,Piezometer,SGWD,HPII_BK_003,24.19556,71.98028,150.45,Confined I,118.5,114.8,116.2,116.8,121.6,119,121,128.2,121.15,119.1,120.6,118.8,128.2,126.5,127.6,125.2
20,Gujarat_24,Banaskantha_441,Deesa_3740,Talepura_156082,Talepura,NA,Piezometer,SGWD,HPII_BK_004,24.37417,72.21917,90.42,Confined I,47.1,43.8,7.4,9,13.2,12.5,13.7,13.44,14.9,16,16.9,15.2,12.21,7.1,Filled up,Filled up
21,Gujarat_24,Banaskantha_441,Deesa_3740,Tetoda_156083,Tetoda-1,NA,Piezometer,SGWD,G_1_BK_036,24.425,72.1025,150,Confined I,94.4,91.6,94.8,81.7,84.9,84.35,83,83.2,84.34,84.7,87.5,81.3,85.9,84.3,91.2,87.5
22,Gujarat_24,Banaskantha_441,Deesa_3740,Tetoda_156083,Tetoda-2,NA,Piezometer,SGWD,G_1_BK_037,24.4251,72.1024,89,Unconfined,77.4,74.1,74.6,71.2,72.4,72,71.7,71.4,72.2,71.8,77.6,67.7,76.8,72.9,74.2,73.1
23,Gujarat_24,Banaskantha_441,Deodar_3741,NA,Mesra,Mesra,Piezometer,SGWD,G_1_BK_046,24.08028,71.72,90,Confined I,69.1,65,65.1,55.6,62.7,53.5,55.3,54.2,58.9,52,56,53.6,56.2,54.3,55.3,48.5
24,Gujarat_24,Banaskantha_441,Dhanera_3734,NA,Vinchhivadi,Vinchivadi Pz-II,Piezometer,CGWB,W243510071560002,24.58611,71.93333,102,Confined I,57.25,56.81,57.28,57.31,60.94,54.16,60.38,NA,65.75,70.31,73.49,NA,81.14,82.06,87.89,90.86
25,Gujarat_24,Banaskantha_441,Dhanera_3734,Alvada_156152,Alwada,NA,Piezometer,SGWD,G_1_BK_048,24.54972,72.22056,57,Unconfined,38.5,35.5,37.9,34.2,39.7,32.6,33.1,34.3,39.5,38.1,37.5,33.9,40.5,38.7,42.5,41.8
26,Gujarat_24,Banaskantha_441,Dhanera_3734,Anapur Chhota_156153,Anapur Chhota,NA,Piezometer,SGWD,BKPZ-059,24.58,72.2,47.87,Unconfined,37.3,33.2,34.2,30,37.4,32.5,34,34,36.7,34.98,37,30.1,36.2,34.45,37.4,34.9
27,Gujarat_24,Banaskantha_441,Dhanera_3734,Jorapura (Dhakha)_156164,Ramuna,NA,Piezometer,SGWD,G_1_BK_056,24.55,71.94,90,Confined I,62.5,60.3,63.9,60,65.1,64.5,65.2,67.7,73.4,72.15,76.2,74.1,75.45,73.8,Dry,Dry
28,Gujarat_24,Banaskantha_441,Dhanera_3734,Khimat_156165,Khimat,NA,Piezometer,SGWD,BKPZ-093,24.49,72.18,90,Unconfined,58.19,54.29,54.69,54.39,55.69,55.69,56.69,56.09,58.69,55.89,57.2,53.59,57.94,54.89,56.39,54.2
29,Gujarat_24,Banaskantha_441,Dhanera_3734,Lawara_156168,Lawara,NA,Piezometer,SGWD,G_1_BK_052,24.61,71.93,119,Confined I,57.4,57.4,58.3,56.6,62.4,60.5,63.5,63.4,69.3,66,63.5,61.1,62.7,60.5,65.4,61.2
30,Gujarat_24,Banaskantha_441,Dhanera_3734,Lawara_156168,Lawara,Lawara - 1,Piezometer,SGWD,G_1_BK_052,24.61222,71.92889,119,Confined I,57.4,57.4,58.3,56.6,62.4,60.5,63.5,63.4,69.3,66,63.5,61.1,62.7,60.5,65.4,61.2
31,Gujarat_24,Banaskantha_441,Dhanera_3734,Nenava_156171,Nenava,NA,Piezometer,SGWD,BKPZ-061,24.65,71.88,90,Confined I,45.8,44.1,48.6,47.1,51.9,49.4,53.8,53,60.6,55.7,60,58.3,59.2,57.6,70.1,69.8
32,Gujarat_24,Banaskantha_441,Dhanera_3734,Vachhol_156185,Vachhol,NA,Piezometer,SGWD,HPII_BK_010,24.61,72.31,54.2,Unconfined,39.2,35.5,37.9,36.5,37.5,37.3,37.2,37.1,39.4,39.9,43.1,36.8,42.7,38.1,44.8,42.6
33,Gujarat_24,Banaskantha_441,Dhanera_3734,Vasan_156187,Vasan,Vasan,Piezometer,SGWD,HPII_BK_011,24.68972,72.07056,118.26,Confined I,93.1,91,92.7,91,94.2,89,101,99.7,101.3,97.2,104,102.65,105.2,102.2,105.7,100.6
34,Gujarat_24,Banaskantha_441,Dhanera_3734,Vinchhivadi_156188,Vinchhivadi,Vinchivadi PZ-I,Piezometer,CGWB,W243510071560001,24.58611,71.93333,201.04,Confined II,57.09,56.63,57.34,57.66,63.16,56.31,60.69,65.69,68.69,72.94,NA,NA,NA,NA,Filled up,Filled up
35,Gujarat_24,Banaskantha_441,Dhanera_3734,NA,Dhanera (M),Dhanera Pz-I,Piezometer,CGWB,  ,24.50461,72.03051,202.7,Confined II,100.94,94.63,86.19,80.06,91.75,86.38,95.75,89.63,NA,103.19,106.81,117.8,123.56,123.63,142.07,146.87
36,Gujarat_24,Banaskantha_441,Kankrej_3743,NA,Nana Jampur,Nana Jampur,Piezometer,SGWD,HPII_BK_013,23.95056,71.84694,90.28,Confined I,65.1,63.1,60.2,58.7,61.2,58.5,52,55.4,60.8,58.6,60.2,56.1,57,55,55.4,54.25
37,Gujarat_24,Banaskantha_441,Kankrej_3743,NA,Thara,Thara-I,Piezometer,SGWD,BKPZ-097,23.9925,71.82667,115.98,Confined I,99.3,95.4,92.4,90.4,92.1,88.2,89.9,88.87,93.1,91.4,93.2,89,91.9,88.4,88.8,86.5
38,Gujarat_24,Banaskantha_441,Kankrej_3743,NA,Thara,Thara-II,Piezometer,SGWD,BKPZ-098,23.98972,71.82722,150,Confined II,141.02,137.52,137.62,133.62,135.32,126.92,126.42,136.62,131.92,124.37,127.92,119.52,125.82,123.67,123.62,118.72
39,Gujarat_24,Banaskantha_441,Kankrej_3743,NA,Totana,Totana,Piezometer,SGWD,BKPZ-094,23.89167,71.8575,60.04,Unconfined,16.8,12.8,13.2,12.6,14.3,9,10.8,11.3,15.8,13.75,14.2,12.7,13.7,11.9,14.15,12.7
40,Gujarat_24,Banaskantha_441,Kankrej_3743,NA,Vada,Vada,Piezometer,SGWD,G_1_BK_067,23.99306,71.85083,119,Confined I,93.5,92.2,97.8,92.8,96.3,95.7,92.5,93.3,97.3,95.7,91.8,89.6,NA,NA,Filled up,Filled up
41,Gujarat_24,Banaskantha_441,Kankrej_3743,Khodla_156223,Khodla,Khodla,Piezometer,SGWD,BKSSPZ-06,24.13333,71.95639,57.5,Unconfined,19.3,19.4,23.8,12.9,21.5,19.3,24.5,30.8,35.5,18.9,15,13.8,14.5,13.25,15.15,12.75
42,Gujarat_24,Banaskantha_441,Lakhani_6168, Taruwa_156435,Taruwa,NA,Piezometer,SGWD,BKPZ-099,24.40642,71.82861,89.74,Unconfined,60.1,57.7,60.5,57.9,63.6,63.2,64.7,66.3,71.9,70.2,71.5,68.9,75.7,74,75.2,71.5
43,Gujarat_24,Banaskantha_441,Lakhani_6168,Bhakadiyal_155984,Bhakadiyal-1,sardhav Pz -I,Piezometer,SGWD,G_1_BK_025,24.41,71.93,299,Confined III,56.8,52.7,61.3,60.25,68.1,64.8,70.3,71.2,80,76.9,85.2,82.6,90.15,86.45,89.4,87.4
44,Gujarat_24,Banaskantha_441,Lakhani_6168,Bhakadiyal_155984,Bhakadiyal--Ii,NA,Piezometer,SGWD,BKPZ-048,24.41,71.93,120,Confined I,57.3,56.1,58.7,57.7,63.1,63,66.9,67.2,75.8,72.17,75.2,71.2,85.7,83.6,87.3,84.5
45,Gujarat_24,Banaskantha_441,Lakhani_6168,Bhakadiyal_155984,Bhakadiyal--Iii,NA,Piezometer,SGWD,BKPZ-049,24.41,71.93,199.85,Confined II,56.4,53.8,59.3,58.5,66.3,62.7,68.3,68.1,78.6,72.8,82,80.5,88.3,87.1,89.85,89.1
46,Gujarat_24,Banaskantha_441,Lakhani_6168,Chalva_156102,Chalva,Chalva,Piezometer,SGWD,G_1_BK_041,24.29556,71.7275,120,Confined I,72.1,69.1,75.2,75.7,91.1,90.6,97.9,97.2,100.4,95.2,99.1,97.3,109.3,107.1,Dry,Dry
47,Gujarat_24,Banaskantha_441,Lakhani_6168,Jhakol_156020,Jhakol - 1,NA,Piezometer,SGWD,G_1_BK_027,24.32,71.98,148,Confined I,100.4,96.3,107.4,104.8,114.3,114.3,120,121.14,129.75,129.7,127.9,124.3,NA,NA,Dry,Dry
48,Gujarat_24,Banaskantha_441,Lakhani_6168,Kuwana_156123,Kuwana,Kuwana,Piezometer,SGWD,BKPZ-104,24.30722,71.78028,197.45,Confined II,88.6,88.9,99,95.7,105.35,96.7,107.5,97.1,107.7,101.6,112.7,107.9,114.45,108.65,115.2,109.2
49,Gujarat_24,Banaskantha_441,Lakhani_6168,Lakhani_156038,Lakhani,Lakhani  i,Piezometer,CGWB,W241850071490501,24.31389,71.81806,200,Confined II,78.58,NA,79.43,78.1,82.51,114.58,85.94,105.21,99.73,97.06,112.17,113.22,89.25,91.21,91.2,filled up
50,Gujarat_24,Banaskantha_441,Lakhani_6168,Shergadh_156078,Shergadh,Balodhar_Pz-II,Piezometer,CGWB,NA,24.23168,71.91586,173,Confined I,78.56,NA,79.44,78.13,82.5,114.56,85.94,105.19,99.75,97.06,NA,NA,NA,NA,Filled up,Filled up
51,Gujarat_24,Banaskantha_441,Lakhani_6168,Shergadh_156078,Shergadh,Balodhar_Pz-I,Piezometer,CGWB,W241350071544401,24.23113,71.91254,200,Confined II,145.25,144.88,145.38,141.25,154.63,144.5,163.13,183.75,169.13,165.63,177.27,NA,NA,NA,NA,179.31
52,Gujarat_24,Banaskantha_441,Palanpur_3739,NA,Palanpur (M),Palanpur_Pz,Piezometer,CGWB,W241020072270001,24.17202,72.45003,69.5,Unconfined,40.63,39,41.56,39.56,40.38,36.31,36.38,36.63,38.34,40.63,39.48,39.25,39.63,39.71,41.31,41.32
53,Gujarat_24,Banaskantha_441,Palanpur_3739,NA,Palanpur,Palanpur2,Dug Well,CGWB,W241140072260001,24.19444,72.43333,35.75,Unconfined,33.92,34.17,28.06,27.54,27.15,19.1,20.77,20.85,27.27,26.79,24.57,22.77,NA,24.75,28.21,23.5
54,Gujarat_24,Banaskantha_441,Palanpur_3739,Aligadh_276236,Aligadh,NA,Piezometer,SGWD,HPII_BK_015,24.19,72.48,60.39,Unconfined,39.2,36.45,37.5,36.9,40.1,34.5,35.5,34.8,40.6,38.25,41,35.5,42.3,40.3,44.15,42.8
55,Gujarat_24,Banaskantha_441,Palanpur_3739,Chandisar_156283,Chandisar-Ii,NA,Piezometer,SGWD,BKPZ-079,24.21,72.32,120,Confined II,95.31,94.51,94.81,91.41,97.11,91.31,95.41,94.31,97.21,95.81,99.11,98.51,98.51,97.36,100.31,97.31
56,Gujarat_24,Banaskantha_441,Palanpur_3739,Dhandha_156288,Dhandha,NA,Piezometer,SGWD,G_1_BK_069,24.18,72.56,57,Unconfined,23.9,17.6,20.7,20,24.9,15.5,19.7,19.8,23.95,19,22.5,16.2,23.1,21.15,22,20.2
57,Gujarat_24,Banaskantha_441,Palanpur_3739,Gola_156294,Gola,NA,Piezometer,SGWD,BKPZ-080,24.14,72.53,43.56,Unconfined,30.2,26.7,27.9,26.6,28.75,26.5,27.3,27.51,31.2,29.3,31.4,29.5,32.75,30.2,32.45,30.75
58,Gujarat_24,Banaskantha_441,Palanpur_3739,Hasanpur_156295,Hasanpur,Hasanpur,Dug Well,SGWD,BK-112,24.24611,72.54694,24.4,Unconfined,16.9,16.75,18.2,14.6,16.7,7.6,15.6,10.1,21.8,13,20,21.2,21.3,20.7,23.4,21.4
59,Gujarat_24,Banaskantha_441,Palanpur_3739,Hathidra_156296,Hathidra,Hathidra,Dug Well,SGWD,BK-113,24.23139,72.6175,28.85,Unconfined,8.7,8.65,7.9,5.8,9.9,2.9,6.5,6.1,13.1,3.65,8,5.9,12.2,9.4,11.8,8.3
60,Gujarat_24,Banaskantha_441,Palanpur_3739,Hebatpur_156297,Hebatpur,Hebatpur,Dug Well,SGWD,BK-019,24.26028,72.46972,30,Unconfined,24.7,23.5,24,18.7,26.05,11.2,17.6,21.3,25.5,28.4,26.9,22.3,25.6,23.95,25.4,23.4
61,Gujarat_24,Banaskantha_441,Palanpur_3739,Kotda (Cha)_275902,Chitrasani,NA,Piezometer,SGWD,BKPZ-064,24.27,72.48,37,Unconfined,14.6,11.9,13.6,13.6,15.7,8.9,10.9,10.6,14.93,12.4,14,8.8,13.2,11.75,12.9,10.7
62,Gujarat_24,Banaskantha_441,Palanpur_3739,Madana (Gadh)_156319,Madana (Gadh)-I,NA,Piezometer,SGWD,BKPZ-067,24.11,72.25,124.05,Confined I,69.4,61.8,60.5,53.1,67.1,52.75,60.3,61.75,65.2,55.75,68.7,62.3,67,65.8,69.1,68.7
63,Gujarat_24,Banaskantha_441,Palanpur_3739,Madana (Gadh)_156319,Madana (Gadh)-Ii,NA,Piezometer,SGWD,BKPZ-068,24.11,72.25,143.1,Confined II,128.6,120.8,120.3,114,119.3,111.66,117.2,120.6,121.9,112.2,119.4,116.6,118.1,116.2,132.8,129.1
64,Gujarat_24,Banaskantha_441,Palanpur_3739,Madana (Gadh)_156319,Madana (Gadh)-Iii,NA,Piezometer,SGWD,BKPZ-069,24.11,72.25,193.13,Confined III,156,145.5,145.7,139,150.15,141.5,152,150.6,156.45,144.15,158,153.7,156.7,155.3,160.6,158.4
65,Gujarat_24,Banaskantha_441,Palanpur_3739,Sedrasana_156349,Sedrasana,NA,Piezometer,SGWD,G_1_BK_075,24.1,72.43,89.91,Unconfined,69.8,68.2,70.8,69.2,71.6,63.8,64.5,61.75,66.6,62.4,67.2,65.3,69.1,67.55,72.4,69.3
66,Gujarat_24,Banaskantha_441,Palanpur_3739,Vagda_156359,Vagda,NA,Piezometer,SGWD,G_1_BK_076,24.13,72.46,49.23,Unconfined,40.4,42.2,45.5,44.25,48.6,33.5,32.2,33.95,47.25,41.2,27.2,25.3,27.1,25.45,Dry,46.1
67,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Bhuriya,NA,Piezometer,SGWD,G_1_BK_077,24.51,71.73,90,Confined I,33.3,31.6,34.7,34.4,36.1,31.7,32.9,32.9,36.7,34.8,35.8,34.2,39.5,38,40.75,39.4
68,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Jandla,Jandla,Piezometer,SGWD,G_1_BK_080,24.32028,71.635,90,Confined I,18.3,13.6,11.6,10.9,11.8,8.1,10,10.2,12.7,10.25,10.8,9.2,10.2,8.8,10.1,6.6
69,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Khengarpura,Khengarpura,Piezometer,SGWD,BKSSPZ-25,24.45917,71.79194,48.52,Unconfined,31.4,27.7,31.4,28.3,32.4,28.34,31.4,32.1,37.2,35.35,43.5,37.4,NA,NA,Dry,Dry
70,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Khoda,Khoda,Dug Well,CGWB,W243930071460001,24.65833,71.76667,27.45,Unconfined,23.82,20.58,21.5,21.04,22.54,18.13,21.66,21.8,21.17,23.45,23.26,23.82,24.65,21.35,26.15,27.19
71,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Khoda,Khoda,Dug Well,SGWD,BK-066,24.65944,71.76139,27.32,Unconfined,NA,18.85,18.1,20.85,23.05,20.65,21.45,21.5,24.59,24.05,23.75,23.25,24.78,23.44,23.85,20.55
72,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Lorwada,Lorwada-2,Piezometer,SGWD,G_1_BK_082,24.49667,71.61417,82.03,Confined I,8.6,4.6,6.6,4.05,7.3,0.95,2.8,3,5.6,3.45,6,2.3,5.2,3.9,3.3,2.1
73,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Miyal,Miyal-2,Piezometer,SGWD,G_1_BK_086,24.61694,71.74778,90,Confined I,19.6,15.9,19.3,13.2,13.9,8.1,11.6,12,14.6,12.8,13.5,12.2,15.5,14.1,16.2,14.7
74,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Ranesari,Ranesari-2,Piezometer,SGWD,G_1_BK_092,24.64917,71.55306,120,Confined I,13.45,8.8,10.4,7.4,8.2,5.3,5.9,5.6,7.7,5.6,12.6,4.6,4.5,3.2,4.3,2.9
75,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Tharad,Tharad Pzii,Piezometer,CGWB,W242306071371002,24.39694,71.62722,65,Unconfined,14.72,10.63,14.79,11.42,12.49,8.25,8.96,8.85,9.89,9.41,10.01,9.44,9.93,9.02,9.67,9.34
76,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Tharad,Tharad Pziii,Piezometer,CGWB,W242306071371003,24.39694,71.62722,30,Unconfined,14.34,10.42,14.78,11.43,12.47,8.42,8.88,8.82,9.99,9.44,9.13,9.36,9.88,9.17,9.77,9.38
77,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Tharad,Tharad,Piezometer,SGWD,HPII_BK_020,24.38917,71.63556,89.35,Confined I,23,16.8,18.5,15.9,17.3,12.3,13,13.4,16.7,14.4,15,13.55,14.7,13.4,16.75,11.7
78,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Undrana,Undrana,Piezometer,SGWD,BKSSPZ-22,24.42583,71.78056,51.34,Unconfined,38.7,34.2,35.1,32.1,37.2,33.2,35.3,35.6,39.5,37.35,44.5,35.15,NA,39.4,Dry,Filled up
79,Gujarat_24,Banaskantha_441,Tharad_3733,NA,Vadgamda,Vadgamda,Piezometer,SGWD,BKPZ-102,24.40667,71.68778,120,Confined I,39.34,37.64,40.44,32.14,33.64,28.54,30.64,30.24,33.74,30.34,32.84,29.64,NA,NA,Filled up,Filled up
80,Gujarat_24,Banaskantha_441,Tharad_3733,Kiyal_156406,Kiyal-I,NA,Piezometer,SGWD,BKPZ-072,24.52513,71.86325,60,Unconfined,44.35,44.25,45.35,43.85,47.35,46.15,49.25,49.25,52.75,51.45,53.35,52.2,NA,NA,Dry,Dry
81,Gujarat_24,Banaskantha_441,Tharad_3733,Kiyal_156406,Kiyal-Ii,NA,Piezometer,SGWD,BKPZ-100,24.52513,71.86235,90,Confined I,44.72,44.42,47.42,45.02,47.82,46.32,48.72,48.62,53.02,51.57,54.42,52.42,56.92,55.92,58.52,58.82
82,Gujarat_24,Banaskantha_441,Tharad_3733,Kiyal_156406,Kiyal-Iii,NA,Piezometer,SGWD,BKPZ-101,24.52514,71.86325,120,Confined I,45.2,44.6,46.6,44.7,50.3,46.62,50.5,48.4,55.9,51,57.4,55.2,60.4,57.7,58,55.4
83,Gujarat_24,Banaskantha_441,Tharad_3733,Pavadasan_156426,Pavadasan,Pavadasan,Piezometer,SGWD,G_1_BK_088,24.48806,71.91833,120,Confined I,50.2,49.2,53.3,50.9,55.6,52.7,57.9,58.9,64.98,57.6,69.7,65.2,75.8,70.4,72.7,70.3
84,Gujarat_24,Banaskantha_441,Tharad_3733,Rah_156429,Rah,Rah_Pz I,Piezometer,CGWB,W242945071501002,24.49583,71.83611,200,Confined II,48.19,47.97,49.03,45.88,52.44,46.88,53.34,NA,62.47,65.88,63.7,57.34,62.58,55.07,59.88,NA
85,Gujarat_24,Banaskantha_441,Tharad_3733,Rah_156429,Rah,Rah_Pz II,Piezometer,CGWB,W242945071501003,24.49583,71.83611,153,Confined I,41.78,41.37,42.84,42.02,47.14,43.28,50.06,51.45,54.39,55.73,52.91,52.88,53.66,52.46,57.18,NA
86,Gujarat_24,Banaskantha_441,Tharad_3733,Rah_156429,Rah,Rah,Piezometer,SGWD,BKSSPZ-26,24.49472,71.82944,57.72,Unconfined,38.3,36.5,41.6,39,42.6,40.1,42.7,43,51.3,46.1,54.1,50.1,53.6,51.3,Dry,Dry
87,Gujarat_24,Banaskantha_441,Tharad_3733,Rah_156429,Rah,Rah-1,Piezometer,SGWD,G_1_BK_089,24.4925,71.8175,150,Confined II,42.45,39,43.3,39.2,42.8,40.3,45.4,44.1,50.1,46.2,49.1,48.3,53.6,50.9,58.8,55.3
88,Gujarat_24,Banaskantha_441,Tharad_3733,Rah_156429,Rah,Rah-2,Piezometer,SGWD,G_1_BK_090,24.4975,71.81444,59,Unconfined,39.15,36.6,40.1,40.7,46.1,40.25,42.8,43.2,47.9,46.7,51.7,49.3,NA,NA,Dry,Dry
89,Gujarat_24,Banaskantha_441,Vadgam_3738,Gidasan Moti_156467,Gidasan Moti,NA,Piezometer,SGWD,G_1_BK_094,24,72.5,109,Confined I,73.4,71.7,74.5,72.6,76.8,76.7,80.2,78.5,82.5,79.8,76.5,75.1,78.3,76.4,79.1,77.5
